2026/06/04 13:46:31 Listening on :8080
gc 121 @5.701s 1%: 0.22+2.2+0.064 ms clock, 5.3+1.5/3.4/0.43+1.5 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 122 @5.711s 1%: 0.13+0.80+0.007 ms clock, 3.2+2.5/3.4/0.014+0.19 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 123 @5.721s 1%: 0.79+2.7+0.021 ms clock, 18+2.3/4.5/0+0.50 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 124 @5.733s 1%: 0.34+1.0+0.050 ms clock, 8.2+1.6/3.5/0+1.2 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 125 @5.743s 1%: 0.22+1.9+0.026 ms clock, 5.4+3.5/4.5/0+0.64 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 126 @5.753s 1%: 0.35+1.2+0.099 ms clock, 8.4+0.31/3.2/0+2.3 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 127 @5.762s 1%: 0.97+1.0+0.020 ms clock, 23+3.7/6.5/0+0.49 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 128 @5.773s 1%: 2.7+0.75+0.017 ms clock, 66+0.44/4.6/0+0.42 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 129 @5.784s 1%: 0.29+1.9+0.10 ms clock, 7.0+3.2/3.1/0.010+2.4 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 130 @5.795s 1%: 0.43+1.8+0.021 ms clock, 10+2.9/4.0/0+0.51 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 131 @5.807s 1%: 0.21+1.6+0.063 ms clock, 5.1+1.9/5.0/0.002+1.5 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 132 @5.818s 1%: 0.58+0.68+0.010 ms clock, 14+3.0/3.4/0+0.24 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 133 @5.829s 2%: 0.48+1.3+0.027 ms clock, 11+3.9/4.8/0+0.66 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 134 @5.839s 2%: 0.86+0.85+0.032 ms clock, 20+1.4/4.2/0+0.78 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 135 @5.849s 2%: 0.85+1.8+0.021 ms clock, 20+2.1/3.8/0.001+0.50 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 136 @5.860s 2%: 0.27+0.84+0.008 ms clock, 6.6+3.2/3.3/0+0.19 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 137 @5.869s 2%: 0.52+1.1+0.096 ms clock, 12+1.4/3.9/0+2.3 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 138 @5.879s 2%: 0.86+0.69+0.18 ms clock, 20+2.9/4.7/0+4.3 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 139 @5.890s 2%: 1.6+0.68+0.044 ms clock, 40+2.0/3.7/0.066+1.0 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 140 @5.901s 2%: 0.38+1.6+0.036 ms clock, 9.2+1.5/4.2/0+0.86 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 141 @5.912s 2%: 0.26+1.5+0.027 ms clock, 6.3+1.3/4.0/0+0.66 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 142 @5.923s 2%: 1.6+2.0+0.022 ms clock, 39+2.0/5.8/0.044+0.54 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 143 @5.936s 2%: 0.24+0.99+0.010 ms clock, 5.9+2.2/3.7/0.20+0.25 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
