2026/06/04 13:38:03 Listening on :8080
gc 128 @10.200s 0%: 0.031+1.2+0.016 ms clock, 0.12+1.0/0.56/0+0.065 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 129 @10.214s 0%: 0.070+0.74+0.014 ms clock, 0.28+1.0/0.69/0+0.056 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 130 @10.229s 0%: 0.073+1.1+0.005 ms clock, 0.29+1.2/0.63/0+0.022 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 131 @10.244s 0%: 0.032+0.87+0.013 ms clock, 0.12+1.4/0.80/0+0.052 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 132 @10.259s 0%: 0.043+0.74+0.015 ms clock, 0.17+1.1/0.68/0+0.060 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 133 @10.273s 0%: 0.017+0.83+0.020 ms clock, 0.068+1.1/0.76/0+0.081 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 134 @10.288s 0%: 0.22+0.77+0.016 ms clock, 0.91+1.2/0.73/0+0.066 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 135 @10.303s 0%: 0.087+0.78+0.011 ms clock, 0.34+1.1/0.75/0+0.047 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 136 @10.318s 0%: 0.10+0.88+0.046 ms clock, 0.42+1.2/0.81/0+0.18 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 137 @10.333s 0%: 0.091+0.92+0.021 ms clock, 0.36+1.3/0.86/0+0.086 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 138 @10.348s 0%: 0.11+0.97+0.014 ms clock, 0.44+1.6/0.87/0+0.058 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 139 @10.362s 0%: 0.14+0.90+0.013 ms clock, 0.59+1.4/0.86/0+0.052 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 140 @10.377s 0%: 0.034+0.78+0.019 ms clock, 0.13+1.2/0.75/0+0.077 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 141 @10.390s 0%: 0.047+0.67+0.005 ms clock, 0.18+0.91/0.63/0+0.020 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 142 @10.404s 0%: 0.068+0.77+0.015 ms clock, 0.27+1.1/0.72/0+0.063 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 143 @10.418s 0%: 0.027+0.83+0.004 ms clock, 0.10+1.1/0.77/0+0.017 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
